feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
2.1.2.9: Methionyl-tRNA formyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.41140365349665	-0.0614602574130574	0.227864331457559	3.55546905177754e-8	5.47975827760544e-6	3.55546905177754e-8	5.47975827760544e-6	NA	abundance	105	85
2.4.2.1: Purine-nucleoside phosphorylase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.3657638995592	-0.0614602574130574	0.227368742345309	4.47084381398378e-8	6.59562538378915e-6	4.47084381398378e-8	6.59562538378915e-6	NA	abundance	105	89
3.6.5.2: Small monomeric GTPase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.36139814602487	-0.0614602574130574	0.224073329595062	4.7526995599558e-8	6.93053273523709e-6	4.7526995599558e-8	6.93053273523709e-6	NA	abundance	105	88
5.1.1.7: Diaminopimelate epimerase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.39614509443019	-0.0614602574130574	0.22740688611828	6.03403955494319e-8	8.41082998846015e-6	6.03403955494319e-8	8.41082998846015e-6	NA	abundance	105	80
1.1.1.3: Homoserine dehydrogenase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.63982032612501	-0.0614602574130574	0.274637532253336	6.34558241851021e-8	8.7645323065718e-6	6.34558241851021e-8	8.7645323065718e-6	NA	abundance	105	81
6.1.1.5: Isoleucine--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.30710455951373	-0.0614602574130574	0.22020013705667	6.74192491509452e-8	9.0775158678786e-6	6.74192491509452e-8	9.0775158678786e-6	NA	abundance	105	89
2.7.7.6: DNA-directed RNA polymerase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.4658885544985	-0.0614602574130574	0.250965125095169	7.15883857331158e-8	9.54737021633578e-6	7.15883857331158e-8	9.54737021633578e-6	NA	abundance	105	90
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.86995323664927	-0.0614602574130574	0.312307436551137	7.17834581922576e-8	9.54946678561844e-6	7.17834581922576e-8	9.54946678561844e-6	NA	abundance	105	86
3.1.13.1: Exoribonuclease II|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.63798476163555	-0.0614602574130574	0.27616382605286	1.14004513237771e-7	1.38982865430767e-5	1.14004513237771e-7	1.38982865430767e-5	NA	abundance	105	85
6.3.4.21: Nicotinate phosphoribosyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.64318062033783	-0.0614602574130574	0.28221870711229	1.15148353822435e-7	1.39703509978361e-5	1.15148353822435e-7	1.39703509978361e-5	NA	abundance	105	87
