"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UniRef90_UNK15313-PHIFNBHA_01698|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.282036962394161	-0.290682613120024	0.201318061843844	0.00576758249270553	0.0674727264785755	0.00576758249270553	0.0674727264785755	NA	"abundance"	105	86
"UniRef90_UNK15313-KPPIIOHB_00491|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.710631169096677	-0.0172759480074225	0.256006757516188	0.00577028307161296	0.0674727264785755	0.00577028307161296	0.0674727264785755	NA	"abundance"	105	83
"UniClust90_15313-BJNEDIKN_00840|s__GGB9739_SGB15313.t__SGB15313"	"age"	"age"	"age"	-0.202128913392591	0.0182835451620962	0.0751221726408817	0.00577186614620103	0.0674727264785755	0.00577186614620103	0.0674727264785755	NA	"abundance"	105	87
"UniRef90_C7H993|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.28189916262079	-0.290682613120024	0.201360724408505	0.00578050243472343	0.0674727264785755	0.00578050243472343	0.0674727264785755	NA	"abundance"	105	89
"UniRef90_E2ZH42|s__GGB9739_SGB15313.t__SGB15313"	"age"	"age"	"age"	-0.15990064195484	0.0182835451620962	0.0595665481360072	0.00578468530763851	0.0674727264785755	0.00578468530763851	0.0674727264785755	NA	"abundance"	105	89
"UniClust90_15313-HGOBHMGN_01580|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.303012798037616	-0.0172759480074225	0.111975587739938	0.0057912437023391	0.0674728969658965	0.0057912437023391	0.0674728969658965	NA	"abundance"	105	85
"UniRef90_A0A2A7BAL1|s__GGB9739_SGB15313.t__SGB15313"	"age"	"age"	"age"	-0.752295223513871	0.0182835451620962	0.232199950186442	0.00582875888363959	0.0678292813892331	0.00582875888363959	0.0678292813892331	NA	"abundance"	105	21
"UniRef90_E2ZJQ9|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-0.814036891138265	-0.290682613120024	0.181941648433692	0.00583498909826882	0.0678292813892331	0.00583498909826882	0.0678292813892331	NA	"abundance"	105	64
"UniClust90_15318-PIFAJMID_01643|s__GGB9739_SGB15313.t__SGB15313"	"age"	"age"	"age"	-0.194954648064989	0.0182835451620962	0.0688855234064593	0.00586517614249013	0.0680889240033379	0.00586517614249013	0.0680889240033379	NA	"abundance"	105	72
"UniClust90_15313-CLOGALHF_00396|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.782791470795287	-0.0172759480074225	0.26688402082035	0.00587300615812691	0.0680889240033379	0.00587300615812691	0.0680889240033379	NA	"abundance"	105	81
"UniClust90_15313-INCFMPDK_00375|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.518147954247806	-0.0172759480074225	0.173941051848446	0.00587713532760845	0.0680889240033379	0.00587713532760845	0.0680889240033379	NA	"abundance"	105	77
"UniClust90_15318-LCMIEOLD_00813|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.0341491867964717	-0.290682613120024	0.112782585315708	0.00590144348662076	0.0682938089680658	0.00590144348662076	0.0682938089680658	NA	"abundance"	105	88
"UniClust90_15313-IDMHMIKP_00208|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-1.08259656079565	-0.0172759480074225	0.34269399144883	0.00592872581297727	0.0685326141901442	0.00592872581297727	0.0685326141901442	NA	"abundance"	105	25
"UniClust90_15313-BABCMAAC_01357|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.63137951797943	-0.0172759480074225	0.210753002504629	0.0059479553824434	0.0685866207125184	0.0059479553824434	0.0685866207125184	NA	"abundance"	105	52
"UniClust90_15313-FKEENICP_00771|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.0793069055771372	-0.290682613120024	0.128391120710368	0.00594800912600253	0.0685866207125184	0.00594800912600253	0.0685866207125184	NA	"abundance"	105	88
"UniClust90_15313-PDNHECGD_01318|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.857332855169521	-0.290682613120024	0.401753112760817	0.00595335326716167	0.0685866207125184	0.00595335326716167	0.0685866207125184	NA	"abundance"	105	80
"UniRef90_A0A1C5V5Z9|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-1.3538284934205	-0.0172759480074225	0.460665339442266	0.00596620269610131	0.0686579419637284	0.00596620269610131	0.0686579419637284	NA	"abundance"	105	47
"UniClust90_15313-HDHHBNCP_01844|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-1.05081428964539	-0.290682613120024	0.256828146617929	0.00601676160130928	0.0691625739923077	0.00601676160130928	0.0691625739923077	NA	"abundance"	105	42
"UniClust90_15313-IDMHMIKP_00208|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	-1.19539838329944	-0.290682613120024	0.274173305008272	0.00604634811292835	0.0694252732654835	0.00604634811292835	0.0694252732654835	NA	"abundance"	105	25
"UniClust90_15313-GNOIALIH_00046|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.338793418085893	-0.0172759480074225	0.124484496374848	0.00606474347913152	0.0695590322728866	0.00606474347913152	0.0695590322728866	NA	"abundance"	105	89
"UniClust90_15313-EINIDACE_00525|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.367014021672348	-0.0172759480074225	0.135458188298661	0.00608177029933903	0.0696768150627609	0.00608177029933903	0.0696768150627609	NA	"abundance"	105	83
"UniRef90_UNK15313-OBGCBBMF_01481|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.24668168626249	-0.0172759480074225	0.091916739819068	0.00609063267125462	0.069700902856056	0.00609063267125462	0.069700902856056	NA	"abundance"	105	90
"UniClust90_15313-GCCKNCNP_00512|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-0.687682370681573	-0.0172759480074225	0.23706693033731	0.00610388350609412	0.0697751029172244	0.00610388350609412	0.0697751029172244	NA	"abundance"	105	81
"UniRef90_UNK15313-GDLIBBNL_00378|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.135891357519586	-0.290682613120024	0.150666295924744	0.00612333466017032	0.0697934733962219	0.00612333466017032	0.0697934733962219	NA	"abundance"	105	88
"UniRef90_A0A173YBR7|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	0.28118698681471	-0.0172759480074225	0.105058388331824	0.00612524900273753	0.0697934733962219	0.00612524900273753	0.0697934733962219	NA	"abundance"	105	89
