F-50179221-003S	F-50179155-003S	F-50179247-003S	F-50179145-003S	F-50179263-003S	F-50179227-003S	F-50179243-003S	F-50179060-003S	F-50179271-003S	F-50179229-003S	F-50179267-003S	F-50179200-003S	F-50179151-003S	F-50179192-003S	F-50179147-003S	F-50179196-003S	F-50179186-003S	F-50179213-003S	F-50179062-003S	F-50179233-003S	F-50179239-003S	F-50179253-003S	F-50179066-003S	F-50179169-003S	F-50179161-003S	F-50179205-003S	F-50179249-003S	F-50179259-003S	F-50179219-003S	F-50179159-003S	F-50179184-003S	F-50179190-003S	F-50179203-003S	F-50179209-003S	F-50179167-003S
1.1.1.132	0	2.3711731133	0.942406725	0	0	3.7138538614	1.8033620818	4.1431137397	4.2570127422	0	1.9239908908	2.7968395142	0	0.6657631669	0	1.7319651277	1.0175500395	0	1.0242633036	0.645206555	2.1991539635	0.6544264643	0	0	2.1004752409	0	0	0	0	0.1564525121	2.2646998453	0	0	0	1.4067172833
1.1.1.133	102.2652504105	154.2530808267	152.6644018922	173.4999193506	184.7153529809	249.2844262086	172.4285559911	97.0024236755	176.5772763284	173.3791860069	139.2914643297	111.8442814804	197.0618731198	203.6515875551	117.2634909655	183.0690950244	267.1829125983	107.5346238572	215.6436620567	125.0093386457	171.8237124545	172.4650125089	126.3565984449	243.3067162701	125.5173892993	159.9379985687	183.9647149731	224.9919365406	126.08731278	151.4108984194	139.1442630845	169.2038195022	158.2984948196	64.788561209	246.7848086229
1.1.1.136	0	3.3349745888	3.5986383349	2.8732758143	3.352204108	18.8973445887	2.6873144196	4.007357988	4.7475714598	4.3533194851	7.6832597169	0	2.0810405936	8.5591922883	0	3.3616868462	4.123487041	3.0826250348	0	1.8066461789	9.3045933159	1.0099158107	3.6454404309	0	13.5057286501	0	2.9913339113	0	3.8902940508	1.2477535667	4.2749038723	1.8306981416	7.8553469917	4.8742341965	3.7377327541
1.1.1.137	0	0.8339242435	0.9521816004	0	0	0.6400214357	0	1.5584135161	0.5182370569	0	0	1.2654638828	1.1893389299	0	0	3.0706821529	1.4134027139	0.787491385	3.5430972506	0	1.1251186694	0	0.7947823713	0	3.3972334426	0	0	0	1.5340780769	0	0	0	1.8563459865	0	0
1.1.1.14	29.8763350773	69.5843225448	19.7381676515	83.1594273183	153.9442012188	72.0756199451	74.9264443535	35.1799928315	101.8961210478	23.7298354573	63.9408755983	37.5274651145	47.0595110005	54.4821393582	6.7508669158	51.2689982824	34.0416401538	7.3634264795	3.6460310171	27.6672148437	58.3755632173	53.4920023533	5.2401498097	7.1238863945	17.2672492155	30.5256619561	67.1495502822	65.2740597069	40.064802254	33.3925277345	74.5096397056	39.9652047007	19.6457988593	18.6659115672	32.0434048385
1.1.1.140	0	0	0	0.816955558	2.2469902515	2.1224515908	0	0	1.3372388222	0	0	0	43.630791506	2.2455505515	1.385071	5.4995174275	0	0	0	0	0	3.1866708193	1.0871930039	1.2214145476	0	1.4650451328	0	0	0	2.8400799054	0.8761355383	0	0	0	0
1.1.1.15	0	0	0	0	0	0	0	0	0.6089050409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.154	0	0	0	0	0	1.5480429296	0	0	0.3486402962	0	0	0	0	0	2.4791031912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9153105592	0	0	0	0.6962145155	0
1.1.1.156	0	0	0	0.4142191439	0	2.6515824059	0	0	0.6302343816	0	2.0647047162	0	2.1579521153	0	0	0.6206919362	0	0	1.0348774311	0.623928046	9.6063641041	0	0	0	1.6098566355	5.3390549333	1.1070495777	0	0	0	3.1260122557	0	0	0.8305390443	0
1.1.1.157	226.224739011	103.9267724007	124.8711185195	128.9490604716	63.9287949903	119.7397722134	137.397263952	149.5834176451	113.206980164	100.4573592691	54.5669921752	119.4543730144	69.3847515753	120.677288309	123.6107449826	108.6479791001	105.360612917	97.1736316374	137.3270559882	116.8573986305	108.4465554586	125.475053946	98.5988935446	175.6383604596	103.1054426086	113.8077521466	116.4005496815	149.0039963267	134.0496098645	115.5519132857	83.705216498	121.4715742114	137.8626725685	110.7886125245	202.9167006421
