F-50179223-003S	F-50179153-003S	F-50179245-003S	F-50179143-003S	F-50179261-003S	F-50179225-003S	F-50179241-003S	F-50179058-003S	F-50179269-003S	F-50179231-003S	F-50179265-003S	F-50179176-003S	F-50179173-003S	F-50179194-003S	F-50179149-003S	F-50179198-003S	F-50179163-003S	F-50179215-003S	F-50179064-003S	F-50179235-003S	F-50179237-003S	F-50179255-003S	F-50179068-003S	F-50179171-003S	F-50179141-003S	F-50179207-003S	F-50179251-003S	F-50179257-003S	F-50179217-003S	F-50179157-003S	F-50179182-003S	F-50179188-003S	F-50179201-003S	F-50179211-003S	F-50179165-003S
1.1.1.132	1.1733518249	0	0	1.3397409322	0	1.2897515703	4.8206633343	0	0	0	2.3895068717	2.6756611446	6.1475502466	0	0	0	1.1898963263	0	1.1366987554	2.3945532472	2.0361663303	1.5969816351	0.6952290862	0.6389258354	1.1832409979	0.574503774	0	0	1.7838225351	0.6611803224	3.043718758	0	0	0.7348552746	4.5595706526
1.1.1.133	152.5149870206	158.6914258236	167.3913832894	196.2768803155	283.6930816917	191.3365132082	182.0517009853	240.3104671807	228.5922255498	196.7418805052	306.5449986672	257.8984822054	154.4822023797	338.5468156667	237.7996198696	140.0345404124	218.6331149886	249.3760934149	242.2816048211	302.9919787088	180.4928207392	272.1539662363	324.7666822714	309.3096498671	220.9293652262	262.4942786646	174.3608322449	306.346260836	268.6499223916	212.0392669924	262.1966211436	214.8653603622	243.6497136765	317.5204343749	226.1268927133
1.1.1.136	5.2288389457	4.316988898	4.0616271897	2.4459075659	2.4578742167	3.2326262181	7.1722075349	0	0.5768273785	5.7680027538	2.3459593917	2.2410970326	3.8592821937	6.4485290527	3.3668432406	5.5042503737	4.1314200649	5.3803337242	4.691102084	9.6724825605	1.8787834974	1.3969982531	6.6480670558	0	3.6113287941	3.5405811174	1.5195650973	0	5.2816849183	3.0664696963	3.4033399999	0	0.9148425158	2.8094202896	4.7509918862
1.1.1.137	0.4743829148	0	0.4892070554	0	0	0.5929130515	0	0	0	0	0	0	0	0	2.6393635795	3.4483329463	0.1800966075	0	0	0	0	0	0	0	1.0647058349	0	1.2398888735	2.0253726448	2.0337905996	0	3.0346820012	0	0	0	2.4966555862
1.1.1.14	85.2525793466	40.5185957608	19.6070545686	122.7747794412	80.5296924813	114.6075854066	64.4422504538	62.3618758197	69.0890375854	34.4951869075	45.6815540259	40.5813071639	53.7608193252	36.5058905861	34.8162224465	24.1620003669	16.8921145523	26.5630679677	58.5761468145	76.8209054555	48.2246996054	35.7320306518	41.14224807	36.4615092406	79.9669311837	33.9018859329	25.8120427635	42.790539623	33.1526533757	46.002701778	61.1149272356	37.6653554929	30.3935239801	68.5693747823	67.3641329926
1.1.1.140	11.614080962	5.0131451565	0	28.9561263217	0	17.4736699657	0	27.4322076545	1.6814868832	0	0	1.1910204946	1.2739727614	0.495746696	0	0	0	0	0.3805566611	7.1227501044	3.2648024949	1.3698157002	0	1.8224988223	4.243907174	0	0.5755097969	4.7286591949	0	0	4.6411973394	0	4.801850133	10.8541841629	1.1932629838
1.1.1.15	0	0	0	0.4040607403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.484465787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.154	0	0.9725201522	0	1.513744492	0.5249749485	8.0726391987	0	3.5475940841	1.109363206	0	0	2.3153438415	0	0	0	0	0	0	0	0	1.1416419128	0	0.7511670586	0	0	0.4549131925	0	0	0	0.6345378762	0	0	0	0	0
1.1.1.156	0.575683433	0	0.9003054212	0	0	1.4741175608	0	2.0098402231	0	0	0.2253864005	0.5158965779	0.7352528425	0.3433066195	0	0	0.1712110783	0	0	0	2.0085261901	0	0	0	1.3366503045	1.0681088377	0	1.0267902783	0	0.5352609022	1.242133577	0.49702797	1.2173468736	0.5623968026	0
1.1.1.157	60.7884974352	90.1123504835	126.5214851088	78.119153784	56.2067114552	76.0650706198	40.5384734522	112.3330227719	15.8237189344	185.302872986	40.7052954598	49.4443424625	78.235485209	43.5826400559	82.6364279643	135.9360939898	65.1370897417	104.4911966672	21.2377931821	32.9668912231	98.6842917948	45.2007291085	144.0721728457	19.8751678733	63.7035788326	179.9983005508	116.5146465629	91.3093406732	136.2255907675	85.6270967874	43.1314624286	73.1510211883	168.5764761373	40.5362271758	97.5049776672
1.1.1.159	7.5627328604	4.7400009198	0	12.4653507457	0	7.6765058189	0	8.6118604126	0	0.9921943666	34.0206479476	6.8471801048	4.471605551	1.1227346269	0	0	0.741206985	0	4.0640243516	0	0.9680405324	2.8848889042	0	1.8816449155	8.8342501241	0	2.355301934	16.4541940105	18.5500577225	4.0106409839	12.5058419794	0	1.220007269	5.9900420119	1.2574525795
1.1.1.162	0	0	1.6070451769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.163	0	0	1.116003595	0	0	0.5180441727	0	0	1.22275387	0	0	0	0	0	0	0	0	0	3.0925452481	0	0	0	0	0	1.1765971639	0	0	0	1.2029548433	4.3984482834	0.3070873412	0	3.9225621484	0	0
1.1.1.169	125.1859433383	153.9331523573	170.2999335645	85.0208133268	110.9190080077	118.4243231962	69.6698413464	244.8268929243	24.8152636691	231.6604085451	79.767037452	156.549187159	97.8053281418	88.4761971778	136.4035652702	140.3151753591	109.5909033513	175.2952819971	23.2002414366	54.4581018311	92.6013106807	195.6535841157	203.6190205472	28.8429700492	34.4813681272	188.5185599288	206.1991391606	38.1172850298	176.2722111808	106.3014123302	49.6105793837	98.9094532806	250.4461738963	80.0427768123	138.6161393523
1.1.1.17	17.9637931691	1.7669523521	0	30.6192368077	1.9325515285	7.4446881856	0	16.6241721471	0.7722656021	2.8880354623	0.4651313412	0.8873294894	17.8236845159	0	1.2984530357	0	0.2196553999	3.702223088	0	8.1596419032	0.733331935	0	1.4992570765	1.2118532972	4.8334488193	0.4370734594	0	4.276994063	1.3589380253	1.1964655461	2.7449366306	0	3.1363103883	11.991675304	1.8744653989
1.1.1.170	6.5994272192	0	0	27.055326275	0	2.082459719	0	5.542684915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8624200645	2.2331424589	0	0	3.6907807187	0	0	0	0	0	5.5727259548	2.2476322455
1.1.1.173	0.2951434422	0.4044863092	0	0.6096429755	0.8381656805	0	0	0	0	0	0	0	2.3023398155	0	0.9355674728	0.7382426471	0	0	0	0	0	0.9820411982	0.5757844414	0.6829941322	0.6252074005	0.3504834344	0	0.505456039	1.2684166135	0	0.172983136	0	1.2069421995	1.4269769619	0
1.1.1.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9063701064	0	0	0	0	0	0	0	0	0	0
1.1.1.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.179	5.7191826234	5.028168412	1.4057079108	2.0144477964	7.1040759413	6.8995445544	0	11.4316702847	0	11.4952121495	0	8.0126632996	5.5829776373	1.4639797398	3.4167811971	2.0030138319	2.7071946217	8.5234462294	2.3563953032	1.3798880334	3.5439391222	1.8146567283	4.1849831013	0.6353520442	2.1071195435	0	2.9011430192	2.185171445	7.9021548103	3.9257093409	0	0	3.0796193208	0	4.3053898486
1.1.1.18	18.5573126404	0	10.0773682056	44.3731969372	24.1477768368	32.9338121238	15.9014509779	0.4458323099	8.165635181	6.8077093758	147.6485416671	46.4037887963	22.4383178823	6.1845439212	4.0241571816	11.0996135224	16.3879243671	14.3464395815	26.270835833	6.8867682115	24.2228448891	16.4246384941	14.1601721861	35.8813643098	23.7323459778	7.1190436267	27.1594343308	136.954779632	114.7317952416	28.6700993624	91.2033870492	7.1276388435	7.5769097718	15.1818003557	33.9848689039
1.1.1.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.722356606	0	0
1.1.1.188	14.1262185342	13.6125066569	10.1333423211	0	8.6661830094	5.9350353875	5.7368511993	16.9313986334	0	4.1437877819	0	29.0435239133	8.8423100059	0	26.0568296517	6.6199636921	10.4863932216	12.031870597	3.012503596	0	10.5590166995	89.417829391	21.2757610213	1.9039267407	2.2391971445	11.8414848049	17.2491252958	1.6885546435	12.327404818	6.1982988882	0.4706882272	11.8937072654	22.8953084732	1.4507698612	17.4234007798
1.1.1.192	13.5088067121	17.6786530027	7.9983614425	16.9666248239	17.3405992594	13.4508708484	17.0160032234	2.0144458515	9.0662441532	12.0362751253	2.4792543803	8.766202001	30.6785001244	1.9013707945	7.8683379368	20.7662406277	6.5035779682	11.0955356288	8.0139504936	6.8178615114	27.0667846833	13.4852281961	7.0199119065	2.854915133	8.0402774808	6.3358193378	11.1772460434	12.2791802796	12.3609472724	15.9649019465	6.6951400375	4.4273628416	16.8923904599	11.0291547815	5.4746478823
1.1.1.193	69.1130071037	65.3438906197	41.3371480011	85.007326671	77.562213072	24.1413418856	102.4615097582	38.4862591891	295.6726965539	61.8488315045	343.0989488989	56.9637135855	64.9548965805	364.0022239725	96.607881345	32.8991749779	55.3810440923	33.672687844	99.9923092156	196.2550106925	32.8790154001	43.010428368	56.3030630849	308.1297385096	96.8878962561	118.2515955298	39.555803948	294.2553025097	91.392427448	178.2513454775	257.7362116499	366.9658259511	82.0750453681	256.9139240172	36.5999580771
1.1.1.195	0	2.5244795357	0	0	0	0	0	9.806779866	0	0	0	0	0	0	0	1.8856704006	0	1.806477662	0	0	0	1.3593107244	0	0	0	3.9150231263	2.1783947357	0	1.5009490019	0	0	0	0	0	0
1.1.1.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.2	58.5695555139	51.3231127468	40.302937898	58.5240761569	29.9388559799	56.5232987744	23.6455885593	41.0827094127	10.7046575575	29.7991902915	29.3616225982	12.5724697139	21.7331107118	2.0592516264	26.9785912343	37.0725697424	26.2753221251	31.6270553587	3.1215895011	4.7185295814	29.2324927736	10.1339669324	14.4740474545	5.7624683679	14.138476389	29.4964264945	29.6082467601	18.3447668699	50.5527543558	17.3370482451	11.4582410876	11.7693739064	42.6967793592	29.4077415988	23.1101883622
1.1.1.200	0	0	0	0.8714908892	0	0	0	1.3425104615	0	0	0	0	0	0.3999522117	0	0	0.6575709343	0	0	0.4514744929	0	0	0	1.6467392269	1.0200752323	0	0	0.8601620314	0	0	2.1488593149	0	0	0	0
1.1.1.201	0	0	0	0	0	0	0	0	1.2617613636	0	2.8494728424	0	0	0	0	0	0	0	0	0	2.564451045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.202	5.4856082316	38.1912455417	48.2626800843	24.8007410992	24.2127586281	10.6852877718	3.3641749766	3.1033666501	20.5213759182	118.2256173416	77.6755141669	34.5119963683	3.9449951141	49.9314428854	36.6876224012	51.3471432217	21.3055159099	71.8458115521	7.0878402113	1.894015776	27.5233955153	29.1305050809	92.4719496596	13.0377869185	11.0294117327	159.8728972915	53.5617775674	72.077640614	121.0135637682	16.6069635056	40.9345116638	74.9281523717	134.7039386802	3.8648078036	59.3035906172
1.1.1.205	449.0477163293	398.5686768342	407.8249229098	505.7115466106	591.041510063	432.2885457487	641.373058376	413.3370789641	931.7882986682	474.506804945	1053.653644625	641.5853324485	501.3818678521	1016.8231531559	592.9700909259	355.7160541326	538.7688412105	527.0959232614	681.6624165251	831.5361672327	442.5294041372	618.3903793425	579.8121536165	969.4630024332	626.8527987098	578.7707018226	522.691779612	979.599126601	695.9252383808	687.2607241669	845.0996233669	1049.2727112379	573.8457027819	785.3589548556	536.2104543042
1.1.1.21	11.7746667766	3.3141722458	19.5561043774	9.6925617093	10.2273143972	26.7565315481	9.286003159	2.0545855412	3.7048473019	11.0755218068	0.9511753015	79.8388992151	9.6153229875	5.8813753942	25.8654491468	21.0869259256	15.1001868385	56.6038645168	3.0372122343	2.0098896273	60.1285874496	32.0607120063	54.300799479	2.6404417949	19.0816267182	34.5441598818	14.0365925262	5.6306080104	14.8468490962	5.3760169514	2.4801865478	23.6676493951	60.7019331464	10.0633288949	29.4551634656
1.1.1.215	0	2.2387616888	0	0	1.010625351	0	0	0.3663341546	0	0.4711790599	0	0	0.3206239565	0	0	0	0	0	0	0.2052156786	0	0	0	0.1869735068	0	0	0	0.333415034	0.4920303752	1.2099957824	0.6013002109	0	0	0	0.7141149776
1.1.1.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
