	F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
acetylcarnitine (C2)	1.2	0.809	0.211	0.834	2.541	0.7113	0.9445	2.2201	0.7333	0.9632	1.0812	1.3403	0.211	1.4921	1.3832	1.7232	1.8602	1.8547	0.6042	0.7792	1.4337	2.0854	0.9392	1.3283	0.9484	1.0396	1.8031	2.6233	1.3015	0.7735	2.8535	1.4268	0.8457	1.5331	1.1092
cis-3,4-methyleneheptanoylcarnitine	1.2877	0.5395	1.1427	0.1517	1.3958	1.0	0.7283	0.9905	0.219	0.8568	0.1517	0.9645	0.8821	1.2681	0.6872	0.8223	0.7765	1.4118	0.1517	0.6542	1.1144	1.3493	0.9686	0.1517	0.1517	0.1517	1.3572	0.3475	0.6778	0.1517	3.2879	0.1517	0.1517	1.0867	0.94
palmitoylcarnitine (C16)	0.9424	1.0325	2.4719	0.6916	0.497	1.6948	0.5567	0.7239	0.5342	0.6593	1.2827	3.0	0.9901	1.3077	1.0924	1.9125	3.5261	3.4837	1.1555	0.7985	2.9461	1.9715	0.5578	0.3547	1.6595	1.0797	1.698	1.3966	1.445	1.1223	0.9439	0.5986	0.4801	2.3128	1.0
margaroylcarnitine (C17)*	0.2868	0.2868	1.0446	1.1289	1.8776	0.8392	1.2226	0.8433	0.6018	0.9065	0.4091	1.3665	0.783	1.04	1.1045	1.1127	2.2274	3.0542	0.7768	0.3253	1.4961	0.2868	0.8237	0.2868	1.1795	0.6493	1.2461	1.6177	0.7407	0.406	0.4692	0.2868	0.2868	1.5577	0.376
stearoylcarnitine (C18)	0.9504	0.8884	1.5173	0.7635	0.5836	1.1721	0.5787	0.727	0.4894	0.8588	0.8327	2.6438	1.2676	1.8657	1.4076	1.4876	2.7427	3.5279	1.4088	0.4894	2.357	1.3361	0.8513	0.3753	1.455	1.2041	1.6332	1.2986	0.9723	0.8072	0.9714	0.5215	0.5654	1.6779	0.9079
arachidoylcarnitine (C20)*	0.7294	0.5695	0.9194	0.6533	0.6668	0.9136	0.8245	0.6317	0.4728	0.6335	0.6298	1.8261	0.8957	1.5461	0.8896	0.8915	1.2537	1.5512	0.996	0.4718	1.3027	0.6851	0.8747	0.5279	1.2075	0.8909	0.8373	1.3334	0.5705	0.5897	0.6031	0.5224	0.5836	1.0	0.7515
behenoylcarnitine (C22)*	0.7533	0.8438	0.8008	0.7271	1.0657	1.0071	0.9963	1.3712	0.4444	1.1714	0.7467	2.2779	1.1773	1.5256	1.0604	1.0398	1.5119	1.6433	0.9791	0.6624	1.7515	0.9219	0.9757	0.4013	1.0659	1.0207	1.5447	1.5101	1.0115	0.6879	0.7572	0.9409	1.126	1.2026	0.7021
palmitoleoylcarnitine (C16:1)*	1.6209	0.8303	2.0629	2.4172	6.5643	1.5811	1.0353	2.6977	1.1096	0.5849	1.3643	1.6763	0.9647	0.9392	1.9541	1.3309	7.0169	7.3149	1.1558	0.4701	3.1932	3.6146	0.8759	0.1677	1.3286	1.1259	2.2405	2.8718	0.9131	3.0836	1.7023	0.5718	0.707	1.6163	0.8081
oleoylcarnitine (C18:1)	1.2763	1.9407	3.1867	0.954	0.1074	1.687	0.423	0.8753	0.6993	0.8622	1.5999	2.5633	1.7092	1.8357	1.6522	1.7534	3.8945	4.8004	1.2275	0.4942	4.499	2.1474	0.5551	0.268	1.7933	0.9903	1.4139	1.3362	1.8263	1.1858	0.5193	0.6118	0.1074	1.761	1.2099
eicosenoylcarnitine (C20:1)*	0.3445	0.4855	0.5215	0.7279	5.8948	0.7788	0.6282	1.4754	2.757	1.2165	0.3755	0.9093	0.5494	1.1139	0.3413	0.5072	0.6125	0.5493	0.2658	0.5365	0.4119	0.4648	0.2066	0.3606	0.7115	0.2566	0.1595	0.2707	0.1664	0.2157	0.8725	0.8427	0.4793	0.4245	0.2722
